τ,Mr,Mr_τ,Mr_ττ
0.0238,-0.05843902239288897,-46.553049840230244,13167.794278987149
0.024,-0.06745541753070662,-43.76791394570858,14739.465631770077
0.0242,-0.07588575182461584,-40.680729670756406,16193.640795873034
0.0244,-0.08367216220940367,-37.31595134288702,17520.16651361054
0.0246,-0.09076185464323848,-33.699937212909305,18710.124463926186
0.0248,-0.097107459151434,-29.860697939845867,19755.88534425226
0.025,-0.10266733375353962,-25.827636073683866,20651.155875587556
0.0252,-0.10740581555131155,-21.631280429331152,21505.793924987254
0.0254,-0.11129341722126834,-17.30302700539975,21590.013657805008
0.0256,-0.11430696477375775,-13.016989739619898,21459.172551087886
0.0258,-0.11642965526946282,-8.319646212040478,24345.63832795889
0.026,-0.11752792852025935,-0.6693423612236328,8319.58798013132
0.0262,-0.11752776848311375,0.3219346819549768,5759.236821562285
0.0264,-0.11738523968195702,1.6450113751762163,9050.360188853045
0.0266,-0.1159062984671695,10.069155584523346,20547.37446960407
0.0268,-0.11354940189425175,13.987000387832833,21115.84114407804
0.027,-0.1103353626976108,18.220229317264604,20688.99546014308
0.0272,-0.10629093159003687,22.304971345843953,20050.989082601503
0.0274,-0.10144840295250979,26.214366165983087,19106.83513377223
0.0276,-0.09584531005381619,29.922968407921413,18039.08651108724
0.0278,-0.08952410973370767,33.406948522374705,16856.253000374218
0.028,-0.08253184662470203,36.64420935240769,15567.28271061228
0.0282,-0.07491979706833447,39.61448537926836,14181.580704327978
0.0284,-0.0667430947136311,42.29942884726115,12708.950138609242
0.0286,-0.058060340155712584,44.68268347032537,11159.53175933571
0.0288,-0.04893319698421384,46.749946297478076,9543.746325757262
0.029,-0.03942597651761029,48.48901829428185,7871.364558070938
0.0292,-0.029605213377827053,49.88984399800107,6111.788828028147
0.0294,-0.019539233929272183,50.94525647861121,4711.146427635331
0.0296,-0.009297719489332655,51.68426129297873,1120.420534005981
0.0298,0.0010483259125414644,51.803064322564225,301.10383323940033
0.03,0.01141129763336141,51.857174401464604,108.8180177891125
